,연도,제목,감독,제작국가,장르,왓챠평점,영화제,관객수,매출액
0,2020,사탄은 없다,모함마드 라술로프,"독일, 이란, 체코","드라마, 액션",3.7,베를린,,
1,2020,노마드랜드,클로이 자오,"미국, 독일",드라마,3.8,베니스,,
2,2019,기생충,봉준호,한국,드라마,4.3,칸,10252659.0,86963603405.0
3,2019,시너님스,나다브 라피드,"프랑스, 이스라엘, 독일",드라마,3.3,베를린,,
4,2019,조커,토드 필립스,미국,"스릴러, 드라마, 범죄",3.9,베니스,5229027.0,45215057210.0
5,2018,어느 가족,고레에다 히로카즈,일본,"범죄, 드라마",4.1,칸,123614.0,1037979700.0
6,2018,그린 북,피터 패럴리,미국,"코미디, 드라마, 음악",4.2,아카데미,319767.0,2693498708.0
7,2018,터치 미 낫,애디너 핀틸리,"루마니아, 독일, 체코, 불가리아, 프랑스",드라마,3.0,베를린,,
8,2018,로마,알폰소 쿠아론,"미국, 멕시코",드라마,4.1,베니스,,
9,2017,더 스퀘어,루벤 외스틀룬드,"덴마크, 스웨덴, 프랑스, 독일","드라마, 코미디",3.6,칸,4141.0,35134300.0
10,2017,셰이프 오브 워터: 사랑의 모양,기예르모 델 토로,미국,"모험, 스릴러, 판타지, 로맨스, 드라마",3.9,아카데미,477941.0,3969822300.0
11,2017,우리는 같은 꿈을 꾼다,일디코 엔예디,헝가리,"로맨스, 드라마",3.6,베를린,,
12,2016,"나, 다니엘 블레이크",켄 로치,"영국, 프랑스, 벨기에",드라마,4.1,칸,25500.0,201753200.0
13,2016,문라이트,배리 젠킨스,미국,"드라마, 로맨스",3.8,아카데미,117809.0,949053295.0
14,2016,떠나간 여인,라브 디아즈,필리핀,드라마,3.8,베니스,,
15,2015,디판,자크 오디아르,프랑스,"범죄, 드라마",3.4,칸,,
16,2015,스포트라이트,톰 맥카시,미국,"드라마, 스릴러",4.0,아카데미,251662.0,2021684087.0
17,2015,화염의 바다,지안프란코 로시,"이탈리아, 프랑스",다큐멘터리,3.4,베를린,,
18,2015,택시,자파르 파나히,이란,"코미디, 드라마",3.6,베를린,,
19,2015,먼 곳으로부터,로렌조 비가스,"베네수엘라, 멕시코","로맨스, 드라마",3.3,베니스,,
20,2014,윈터 슬립,누리 빌게 제일란,"터키, 프랑스, 독일",드라마,3.6,칸,,
21,2014,버드맨,알레한드로 곤잘레스 이냐리투,미국,"드라마, 코미디",3.9,아카데미,167989.0,1357898100.0
22,2014,백일염화,디아오 이난,"중국, 홍콩","드라마, 스릴러, 범죄",3.4,베를린,,
23,2014,"비둘기, 가지에 앉아 존재를 성찰하다",로이 안데르손,"스웨덴, 독일, 노르웨이, 프랑스, 덴마크","코미디, 드라마, 판타지",3.6,베니스,,
24,2013,"가장 따뜻한 색, 블루",압델라티프 케시시,"프랑스, 스페인, 벨기에","드라마, 로맨스",3.8,칸,3394.0,18428000.0
25,2013,노예 12년,스티브 맥퀸,"미국, 영국","역사, 드라마",3.8,아카데미,484493.0,3542270100.0
26,2013,아들의 자리,칼린 페터 네쩌,루마니아,드라마,3.4,베를린,,
27,2013,성스러운 도로,지안프란코 로시,"이탈리아, 프랑스",다큐멘터리,3.2,베니스,,
28,2012,아무르,미카엘 하네케 ,"프랑스, 오스트리아, 독일","드라마, 로맨스",3.9,칸,,
29,2012,아르고,벤 애플렉,미국,"드라마, 스릴러",3.6,아카데미,136102.0,969566000.0
30,2012,시저는 죽어야 한다,"비토리오 타비아니, 파올로 타비아니",이탈리아,드라마,3.6,베를린,,
31,2012,피에타,김기덕,한국,"드라마, 스릴러",3.1,베니스,592343.0,4274347500.0
32,2011,트리 오브 라이프,테렌스 맬릭,미국,"드라마, 판타지",3.4,칸,28120.0,194886500.0
33,2011,아티스트,미셀 하자나비시우스,"미국, 프랑스","코미디, 드라마, 로맨스",3.8,아카데미,10884.0,78824000.0
34,2011,씨민과 나데르의 별거,아쉬가르 파르하디,"이란, 프랑스, 호주","드라마, 스릴러",4.0,베를린,,
35,2011,파우스트,알렉산더 소쿠로프,러시아,"드라마, 판타지, 미스터리",3.2,베니스,,
36,2010,엉클 분미,아피찻퐁 위라세타쿤,"태국, 프랑스","판타지, 드라마",3.4,칸,,
37,2010,킹스 스피치,톰 후퍼,"영국, 미국, 호주","드라마, 역사",3.7,아카데미,797156.0,5897269000.0
38,2010,허니,세미 카플라노글루,"터키, 독일, 프랑스",드라마,3.5,베를린,,
39,2010,썸웨어,소피아 코폴라,미국,드라마,3.5,베니스,,
