,year,title,director_names,nations,genres,rate,영화제
0,2020,사탄은 없다,모함마드 라술로프,"독일, 이란, 체코","드라마, 액션",3.7 (28명),베를린
1,2020,노마드랜드,클로이 자오,"미국, 독일",드라마,3.8 (32명),베니스
2,2019,기생충,봉준호,한국,드라마,4.3 (53만명),칸
3,2019,기생충,봉준호,한국,드라마,4.3 (53만명),아카데미
4,2019,시너님스,나다브 라피드,"프랑스, 이스라엘, 독일",드라마,3.3 (261명),베를린
5,2019,조커,토드 필립스,미국,"스릴러, 드라마, 범죄",3.9 (14만명),베니스
6,2018,어느 가족,고레에다 히로카즈,일본,"범죄, 드라마",4.1 (7만명),칸
7,2018,그린 북,피터 패럴리,미국,"코미디, 드라마, 음악",4.2 (17만명),아카데미
8,2018,터치 미 낫,애디너 핀틸리,"루마니아, 독일, 체코, 불가리아, 프랑스",드라마,3.0 (11명),베를린
9,2018,로마,알폰소 쿠아론,"미국, 멕시코",드라마,4.1 (3만명),베니스
10,2017,더 스퀘어,루벤 외스틀룬드,"덴마크, 스웨덴, 프랑스, 독일","드라마, 코미디","3.6 (4,499명)",칸
11,2017,셰이프 오브 워터: 사랑의 모양,기예르모 델 토로,미국,"모험, 스릴러, 판타지, 로맨스, 드라마",3.9 (10만명),아카데미
12,2017,우리는 같은 꿈을 꾼다,일디코 엔예디,헝가리,"로맨스, 드라마","3.6 (5,788명)",베를린
13,2017,셰이프 오브 워터: 사랑의 모양,기예르모 델 토로,미국,"모험, 스릴러, 판타지, 로맨스, 드라마",3.9 (10만명),베니스
14,2016,"나, 다니엘 블레이크",켄 로치,"영국, 프랑스, 벨기에",드라마,4.1 (8만명),칸
15,2016,문라이트,배리 젠킨스,미국,"드라마, 로맨스",3.8 (17만명),아카데미
16,2016,떠나간 여인,라브 디아즈,필리핀,드라마,3.8 (77명),베니스
17,2015,디판,자크 오디아르,프랑스,"범죄, 드라마","3.4 (2,294명)",칸
18,2015,스포트라이트,톰 맥카시,미국,"드라마, 스릴러",4.0 (18만명),아카데미
19,2015,화염의 바다,지안프란코 로시,"이탈리아, 프랑스",다큐멘터리,3.4 (187명),베를린
20,2015,택시,자파르 파나히,이란,"코미디, 드라마","3.6 (4,926명)",베를린
21,2015,먼 곳으로부터,로렌조 비가스,"베네수엘라, 멕시코","로맨스, 드라마",3.3 (223명),베니스
22,2014,윈터 슬립,누리 빌게 제일란,"터키, 프랑스, 독일",드라마,"3.6 (4,169명)",칸
23,2014,버드맨,알레한드로 곤잘레스 이냐리투,미국,"드라마, 코미디",3.9 (13만명),아카데미
24,2014,백일염화,디아오 이난,"중국, 홍콩","드라마, 스릴러, 범죄",3.4 (783명),베를린
25,2014,"비둘기, 가지에 앉아 존재를 성찰하다",로이 안데르손,"스웨덴, 독일, 노르웨이, 프랑스, 덴마크","코미디, 드라마, 판타지",3.6 (350명),베니스
26,2013,"가장 따뜻한 색, 블루",압델라티프 케시시,"프랑스, 스페인, 벨기에","드라마, 로맨스",3.8 (23만명),칸
27,2013,노예 12년,스티브 맥퀸,"미국, 영국","역사, 드라마",3.8 (27만명),아카데미
28,2013,아들의 자리,칼린 페터 네쩌,루마니아,드라마,3.4 (273명),베를린
29,2013,성스러운 도로,지안프란코 로시,"이탈리아, 프랑스",다큐멘터리,3.2 (150명),베니스
30,2012,아무르,미카엘 하네케 ,"프랑스, 오스트리아, 독일","드라마, 로맨스",3.9 (4만명),칸
31,2012,아르고,벤 애플렉,미국,"드라마, 스릴러",3.6 (7만명),아카데미
32,2012,시저는 죽어야 한다,"비토리오 타비아니, 파올로 타비아니",이탈리아,드라마,"3.6 (6,370명)",베를린
33,2012,피에타,김기덕,한국,"드라마, 스릴러",3.1 (14만명),베니스
34,2011,트리 오브 라이프,테렌스 맬릭,미국,"드라마, 판타지",3.4 (2만명),칸
35,2011,아티스트,미셀 하자나비시우스,"미국, 프랑스","코미디, 드라마, 로맨스",3.8 (3만명),아카데미
36,2011,씨민과 나데르의 별거,아쉬가르 파르하디,"이란, 프랑스, 호주","드라마, 스릴러",4.0 (2만명),베를린
37,2011,파우스트,알렉산더 소쿠로프,러시아,"드라마, 판타지, 미스터리","3.2 (3,778명)",베니스
38,2010,엉클 분미,아피찻퐁 위라세타쿤,"태국, 프랑스","판타지, 드라마","3.4 (5,316명)",칸
39,2010,킹스 스피치,톰 후퍼,"영국, 미국, 호주","드라마, 역사",3.7 (29만명),아카데미
40,2010,허니,세미 카플라노글루,"터키, 독일, 프랑스",드라마,3.5 (683명),베를린
41,2010,썸웨어,소피아 코폴라,미국,드라마,"3.5 (3,942명)",베니스
42,2009,하얀 리본,미카엘 하네케 ,"독일, 오스트리아, 프랑스, 이탈리아, 캐나다","드라마, 역사, 미스터리, 스릴러",3.8 (1만명),칸
43,2009,밀크 오브 소로우 - 슬픈 모유,클로디아 로사,"스페인, 페루","드라마, 음악",3.5 (328명),베를린
44,2009,레바논,사무엘 마오즈,"독일, 프랑스, 이스라엘","전쟁, 드라마",3.4 (755명),베니스
45,2008,클래스,로랑 캉테,프랑스,드라마,"3.7 (5,836명)",칸
46,2008,허트 로커,캐서린 비글로우,미국,"드라마, 스릴러, 전쟁",3.8 (19만명),아카데미
47,2008,슬럼독 밀리어네어,대니 보일,"영국, 미국, 인도","드라마, 로맨스, 스릴러",3.9 (41만명),아카데미
48,2008,더 레슬러,대런 아로노프스키,"미국, 프랑스","드라마, 스포츠, 액션",3.7 (3만명),베니스
49,2007,"4개월, 3주... 그리고 2일",크리스티안 문쥬,루마니아,드라마,"3.8 (8,998명)",칸
50,2007,노인을 위한 나라는 없다,"에단 코엔, 조엘 코엔",미국,"범죄, 스릴러, 드라마",4.0 (26만명),아카데미
51,2007,엘리트 스쿼드,호세 파딜라,"미국, 브라질, 네덜란드, 아르헨티나","액션, 범죄",3.8 (1만명),베를린
52,2007,"색, 계",이안,"미국, 중국, 대만","드라마, 역사, 로맨스, 스릴러, 전쟁",3.6 (28만명),베니스
53,2006,보리밭을 흔드는 바람,켄 로치,"독일, 이탈리아, 프랑스, 영국, 아일랜드","드라마, 전쟁",3.8 (2만명),칸
54,2006,디파티드,마틴 스콜세지,"미국, 홍콩","스릴러, 드라마, 범죄, 액션",3.7 (14만명),아카데미
55,2006,투야의 결혼,왕지안,중국,"로맨스, 드라마",3.5 (212명),베를린
56,2006,스틸 라이프,지아 장 커,"중국, 홍콩",드라마,3.8 (1만명),베니스
57,2005,더 차일드,"장-피에르 다르덴, 뤽 다르덴","벨기에, 프랑스","범죄, 드라마, 로맨스","3.8 (5,751명)",칸
58,2005,그르바비차,야스밀라 즈바니치,보스니아 헤르체고비나,"전쟁, 드라마",3.6 (456명),베를린
59,2005,카르멘,마크 돈포드 메이,남아프리카 공화국,"로맨스, 드라마",3.6 (31명),베를린
60,2005,브로크백 마운틴,이안,"미국, 캐나다","드라마, 로맨스",3.8 (18만명),베니스
61,2004,화씨 9/11,마이클 무어,미국,"다큐멘터리, 드라마",3.5 (3만명),칸
62,2004,크래쉬,폴 해기스,"독일, 미국","범죄, 드라마",3.6 (2만명),아카데미
63,2004,밀리언 달러 베이비,클린트 이스트우드,미국,"드라마, 스포츠",3.8 (12만명),아카데미
64,2004,미치고 싶을 때,파티 아킨,"독일, 터키","드라마, 로맨스","3.5 (2,643명)",베를린
65,2004,베라 드레이크,마이크 리,"뉴질랜드, 프랑스, 영국","드라마, 범죄",3.7 (779명),베니스
66,2003,엘리펀트,구스 반 산트,미국,"드라마, 범죄",3.8 (2만명),칸
67,2003,반지의 제왕 : 왕의 귀환,피터 잭슨,"미국, 뉴질랜드, 독일","판타지, 드라마, 액션, 전쟁, 모험",4.2 (55만명),아카데미
68,2003,리턴,안드레이 즈비아긴체프,러시아,드라마,"3.6 (1,946명)",베니스
69,2002,피아니스트,로만 폴란스키,"독일, 프랑스, 영국, 폴란드, 네덜란드","드라마, 음악, 전쟁",4.1 (30만명),칸
70,2002,시카고,롭 마샬,"미국, 독일, 캐나다, 영국","음악, 코미디, 범죄, 드라마",3.8 (15만명),아카데미
71,2002,인 디스 월드,마이클 윈터버텀,영국,드라마,3.8 (376명),베를린
72,2002,블러디 선데이,폴 그린그래스,"영국, 아일랜드",드라마,"3.7 (2,663명)",베를린
73,2002,막달레나 시스터즈,피터 멀런,"영국, 아일랜드",드라마,3.6 (729명),베니스
74,2001,아들의 방,난니 모레티,"이탈리아, 프랑스","드라마, 가족","3.6 (4,310명)",칸
75,2001,뷰티풀 마인드,론 하워드,미국,드라마,3.9 (26만명),아카데미
76,2001,센과 치히로의 행방불명,미야자키 하야오,일본,"판타지, 애니메이션, 가족",4.3 (90만명),베를린
77,2001,정사,파트리스 쉐로,"프랑스, 영국, 독일, 스페인",드라마,"2.9 (2,096명)",베를린
78,2001,몬순 웨딩,미라 네이어,인도,,3.3 (327명),베니스
79,2000,어둠 속의 댄서,라스 폰 트리에,"덴마크, 독일, 네덜란드, 이탈리아, 미국, 영국, 프랑스, 스웨덴, 핀란드, 아이슬란드, 아르헨티나, 노르웨이, 대만, 벨기에","범죄, 드라마",3.8 (3만명),칸
80,2000,글래디에이터,리들리 스콧,"영국, 미국","액션, 드라마, 모험",4.1 (41만명),아카데미
81,2000,써클,자파르 파나히,"이탈리아, 이란",드라마,3.3 (265명),베니스
