,제목,관객수,매출액
0,더 스퀘어,4141,35134300
1,조커,5229027,45215057210
2,슬럼독 밀리어네어,4360,26112000
3,노인을 위한 나라는 없다,3147,29245000
4,피에타,592343,4274347500
5,"나, 다니엘 블레이크",25500,201753200
6,아티스트,10884,78824000
7,셰이프 오브 워터: 사랑의 모양,477941,3969822300
8,남과 여,155727,1274742733
9,버드맨,167989,1357898100
10,트리 오브 라이프,28120,194886500
11,벤허,1383215,11274091695
12,불의 전차,1951,12462000
13,그린 북,319767,2693498708
14,기생충,10252659,86963603405
15,잉글리쉬 페이션트,13167,107821000
16,로미오와 줄리엣,1627,12857000
17,"가장 따뜻한 색, 블루",3394,18428000
18,킹스 스피치,797156,5897269000
19,아르고,136102,969566000
20,스포트라이트,251662,2021684087
21,어느 가족,123614,1037979700
22,센과 치히로의 행방불명,110813,871002700
23,신데렐라,708631,5441839200
24,문라이트,117809,949053295
25,쉰들러 리스트,1239,6207500
26,노예 12년,484493,3542270100
27,바람과 함께 사라지다,4859883,34276270161
28,타이타닉,356297,4307363000
29,허트 로커,164633,1230909500
30,"색, 계",1735,12848500
