,코드,제목,개봉일자,관객수,매출액,상영횟수,스크린수
0,20090834,아바타,2009-12-17,8101481,80819903000,110597,25855
1,20100214,아저씨,2010-08-04,6153307,46912622500,108439,23175
2,20100312,인셉션,2010-07-21,5818692,43328488000,81523,19052
3,20090904,의형제,2010-02-04,5401659,40057987000,117274,22375
4,20090933,아이언맨 2,2010-04-29,4416203,32565917500,87221,17234
5,20090077,전우치,2009-12-23,3593801,26217634000,72512,15093
6,20100209,이끼,2010-07-14,3329949,25278029500,57433,14923
7,20100296,포화속으로,2010-06-16,3312401,23734729600,79638,16864
8,20090914,하모니,2010-01-28,3000094,21533782000,76760,14617
9,20090927,방자전,2010-06-02,2973556,22418204500,67312,14487
